"filename", "language", "YAML", "TypeScript", "Docker", "TypeScript JSX", "Markdown", "JSON", "MS SQL", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-progress-command.service.ts", "TypeScript", 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 28, 209
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-progress-query.service.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-progress.mapper.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\next-course-catalog.service.test.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 10, 102
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\next-course-catalog.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\contracts\certificate.repository.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\contracts\course-catalog.contract.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\contracts\course-progress.events.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\contracts\course-progress.repository.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\contracts\course-progress.types.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 16, 135
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\contracts\enrollment.repository.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\contracts\index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\factory\course-progress-domain.factory.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\infrastructure\db\next-certificate.repository.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\infrastructure\db\next-course-progress.repository.ts", "TypeScript", 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 31, 313
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\infrastructure\db\next-courses.repository.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\infrastructure\db\next-enrollment.repository.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\dell\Documents\ScholarX\V2\web\src\hooks\use-lesson-progress.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\ai-search-animations.ts", "TypeScript", 0, 261, 0, 0, 0, 0, 0, 0, 0, 25, 23, 309
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\ai-search\api.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\course-categories.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\enrollment-executor.ts", "TypeScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\strategies\form-application.strategy.ts", "TypeScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\strategies\free-enroll.strategy.ts", "TypeScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\strategies\paid-checkout.strategy.ts", "TypeScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\home-data.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\dell\Documents\ScholarX\V2\web\src\providers\app-providers.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\dell\Documents\ScholarX\V2\web\src\providers\vidstack-provider-rejection-boundary.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 13, 56
"Total", "-", 34, 2546, 2, 3010, 3792, 64, 1028, 140, 358, 186, 1805, 12965
